NAME MC MP
Bitcoin 1,259,685,876,490 55%
Ethereum 410,304,995,894 18%
Tether 112,921,209,149 5%
Bnb 84,291,459,706 4%
Solana 72,825,219,275 3%
Usd-coin 33,938,217,539 1%
Xrp 30,502,201,194 1%
Toncoin 18,521,555,724 1%
Dogecoin 17,720,275,382 1%
Cardano 15,480,784,510 1%
Tron 11,669,892,415 1%
Shiba-inu 11,336,052,349 0%
Avalanche 10,751,868,972 0%
Polkadot-new 9,013,990,989 0%
Chainlink 8,543,495,203 0%
Bitcoin-cash 7,522,147,364 0%
Near-protocol 6,738,096,744 0%
Unus-sed-leo 5,402,271,814 0%
Litecoin 5,359,510,069 0%
Multi-collateral-dai 5,348,549,674 0%
Polygon 5,234,650,207 0%
Pepe 5,031,957,474 0%
Uniswap 4,832,936,314 0%
Internet-computer 4,376,742,730 0%
Kaspa 4,324,908,626 0%
Ethereum-classic 3,433,684,023 0%
Fetch 3,414,980,845 0%
Aptos 3,161,118,698 0%
Stellar 2,998,688,777 0%
Monero 2,952,010,894 0%
Maker 2,778,726,754 0%
Stacks 2,710,086,496 0%
Hedera 2,702,063,208 0%
Vechain 2,548,361,262 0%
Okb 2,525,637,577 0%
Render 2,500,072,823 0%
Cronos 2,482,491,968 0%
Mantle 2,482,847,681 0%
Cosmos 2,477,177,480 0%
Filecoin 2,461,614,243 0%
Arbitrum 2,382,713,202 0%
Immutable-x 2,234,845,052 0%
Dogwifhat 2,178,280,456 0%
Injective 2,170,050,522 0%
Sui 2,099,254,835 0%
Bittensor 2,083,896,263 0%
The-graph 1,995,753,704 0%
First-digital-usd 1,965,241,510 0%
Optimism-ethereum 1,943,783,978 0%
Bonk1 1,832,331,442 0%
Arweave 1,823,027,057 0%
Floki-inu 1,772,808,087 0%
Notcoin 1,652,388,904 0%
Lido-dao 1,564,719,552 0%
Aave 1,560,740,936 0%
Bitget-token-new 1,491,343,593 0%
Ondo-finance 1,482,663,481 0%
Theta-network 1,482,989,071 0%
Jasmy 1,452,962,258 0%
Fantom 1,414,435,622 0%
Based-brett 1,377,566,888 0%
Thorchain 1,353,308,176 0%
Algorand 1,285,784,744 0%
Celestia 1,276,146,415 0%
Pyth-network 1,189,977,353 0%
Jupiter-ag 1,177,833,247 0%
Core-dao 1,130,831,086 0%
Sei 1,095,766,262 0%
Mantra 1,098,171,413 0%
Multiversx-egld 952,286,778 0%
Quant 937,636,066 0%
Kucoin-token 915,776,309 0%
Flow 910,340,485 0%
Bittorrent-new 873,913,484 0%
Eos 869,455,455 0%
Flare 868,581,022 0%
Axie-infinity 862,714,667 0%
Bitcoin-sv 861,586,290 0%
Starknet-token 862,154,525 0%
Ethereum-name-service 859,131,092 0%
Akash-network 855,699,740 0%
Onbeam 854,136,847 0%
Dydx-chain 828,884,261 0%
Tezos 796,359,298 0%
Neo 783,269,215 0%
Gala 780,945,069 0%
Ethena 775,129,199 0%
Ordi 770,094,972 0%
The-sandbox 749,350,676 0%
Ronin 738,860,780 0%
Ecash 738,380,717 0%
Usdd 735,608,699 0%
Conflux-network 714,812,111 0%
Mog-coin 713,382,313 0%
Gatetoken 709,661,183 0%
Gnosis-gno 708,931,107 0%
Nexo 707,346,504 0%
Pendle 700,237,487 0%
Decentraland 675,578,706 0%
Chiliz 628,396,017 0%
